ID X Y Cerámica Lítico Oseo
43,5 995170.3018 986981.6675 37 0 0
43,15 995178.2062 986975.5421 16 0 0
43,25 995186.1106 986969.4168 32 0 2
43,35 995194.0151 986963.2914 30 0 0
43,45 995201.9195 986957.166 56 2 4
43,55 995209.8239 986951.0407 59 1 3
43,65 995217.7283 986944.9153 38 0 1
43,75 995225.6327 986938.7899 78 0 0
43,85 995233.5372 986932.6646 103 0 6
43,95 995241.4416 986926.5392 77 1 1
43,105 995249.346 986920.4138 44 0 10
43,115 995257.2504 986914.2885 22 0 5
43,125 995265.1548 986908.1631 19 0 2
43,135 995273.0593 986902.0377 6 0 1
43,145 995280.9637 986895.9123 4 0 0
43,155 995288.8681 986889.787 9 0 5
43,165 995296.7725 986883.6616 3 0 2
43,175 995304.677 986877.5362 11 0 0
43,185 995312.5814 986871.4109 25 0 4
43,195 995320.4858 986865.2855 57 0 4
43,205 995328.3902 986859.1601 25 0 0
43,215 995336.2946 986853.0348 7 0 0
43,225 995344.1991 986846.9094 25 0 0
43,235 995352.1035 986840.784 0 0 0
43,245 995360.0079 986834.6587 0 0 0
43,255 995367.9123 986828.5333 0 0 0
43,265 995375.8167 986822.4079 0 0 0
43,275 995383.7212 986816.2826 2 0 0
43,285 995391.6256 986810.1572 0 0 1
43,295 995399.53 986804.0318 65 0 1
43,305 995407.4344 986797.9065 6 0 0
43,315 995415.3389 986791.7811 1 0 0
43,325 995423.2433 986785.6557 0 0 0
62,5 995241.916 986918.8771 144 0 33
62,15 995235.8241 986910.9469 76 2 3
62,25 995229.7322 986903.0166 62 1 3
62,35 995223.6403 986895.0864 27 2 0
62,45 995217.5484 986887.1561 2 0 0
62,55 995211.4565 986879.2259 7 0 1
62,65 995205.3647 986871.2956 6 1 0
62,75 995199.2728 986863.3654 4 0 0
62,85 995193.1809 986855.4351 9 0 7
62,95 995187.089 986847.5049 42 0 3
62,105 995180.9971 986839.5746 38 0 1
62,115 995174.9052 986831.6444 6 0 1
62,125 995168.8133 986823.7141 7 0 4
62,135 995162.7214 986815.7839 20 1 1
62,145 995156.6295 986807.8536 0 0 0
62,155 995150.5376 986799.9234 0 0 0
62,165 995144.4457 986791.9931 7 0 0
62,175 995138.3538 986784.0629 18 1 0
62,185 995132.2619 986776.1326 11 0 0
62,195 995126.1568 986768.2128 13 0 0
62,205 995119.8995 986760.4124 20 0 4
61,5 995126.9646 986755.7402 0 0 0
61,15 995134.6688 986749.3648 0 0 0
61,25 995142.3729 986742.9893 0 0 0
61,35 995150.0771 986736.6139 0 0 0
61,45 995157.7812 986730.2385 0 0 0
61,55 995165.4853 986723.863 0 0 0
61,65 995173.1895 986717.4876 3 0 0
61,75 995180.8936 986711.1121 37 0 0
61,85 995188.5978 986704.7367 8 0 0
61,95 995196.3019 986698.3613 1 0 0
61,105 995204.0061 986691.9858 1 0 0
1314,5 995191.189 986836.0418 13 0 0
1314,15 995198.8865 986829.6583 29 0 0
1314,25 995206.584 986823.2749 11 0 0
1314,35 995214.2815 986816.8914 9 0 0
1314,45 995221.979 986810.5079 3 0 0
1314,55 995229.6765 986804.1245 3 0 0
1314,65 995237.374 986797.741 0 0 0
1314,75 995245.0715 986791.3576 1 0 0
1314,85 995252.769 986784.9741 4 0 0
1314,95 995260.4665 986778.5907 53 0 0
1314,105 995268.164 986772.2072 0 0 0
64,5 995422.7275 986775.3645 2 0 0
64,15 995419.6243 986765.8582 0 1 0
64,25 995416.5211 986756.3519 5 0 0
64,35 995413.4179 986746.8456 0 1 0
64,45 995410.3147 986737.3393 8 0 3
64,55 995407.2115 986727.8329 0 0 0
64,65 995404.1083 986718.3266 0 0 0
64,75 995401.0051 986708.8203 0 0 0
9,5 995335.7979 986838.4208 22 0 0
9,15 995329.6229 986830.5551 10 1 0
9,25 995323.4479 986822.6894 2 0 0
9,35 995317.2729 986814.8236 23 0 0
9,45 995311.0979 986806.9579 17 0 0
9,55 995304.9229 986799.0922 1 0 0
9,65 995298.7479 986791.2265 111 3 1
9,75 995292.5729 986783.3608 4 0 0
9,85 995286.3979 986775.4951 5 0 0
9,95 995280.223 986767.6294 7 0 0
66,5 995352.5132 986861.5513 0 0 0
66,15 995358.7678 986869.3539 0 0 0
66,25 995365.0224 986877.1565 0 0 0
66,35 995371.2769 986884.9591 0 0 0
66,45 995377.5315 986892.7617 0 0 0
66,55 995383.7861 986900.5642 0 0 0
66,65 995390.0407 986908.3668 0 0 0
66,75 995396.2953 986916.1694 0 0 0
66,85 995402.5498 986923.972 0 0 0
66,95 995408.8044 986931.7746 0 0 0
66,105 995415.059 986939.5771 0 0 0
66,115 995421.3136 986947.3797 0 0 0
66,125 995427.5681 986955.1823 9 0 0
66,135 995433.8227 986962.9849 6 0 0
66,145 995440.0773 986970.7875 27 0 0
66,155 995446.3319 986978.59 21 0 0
66,165 995452.5865 986986.3926 0 0 0
66,175 995458.841 986994.1952 0 0 0
66,185 995465.0956 987001.9978 0 0 0
66,195 995471.3502 987009.8004 0 0 0
66,205 995477.6048 987017.6029 5 0 0
67,5 995468.5876 987030.6436 0 0 0
67,15 995460.5804 987036.6339 15 0 0
67,25 995452.5731 987042.6243 29 0 0
67,35 995444.5659 987048.6146 8 0 0
67,45 995436.5587 987054.6049 8 0 0
67,55 995428.5514 987060.5953 17 0 0
67,65 995420.5442 987066.5856 0 0 0
67,75 995412.5369 987072.5759 5 0 0
67,85 995404.5297 987078.5663 2 0 0
67,95 995396.5224 987084.5566 3 0 0
67,105 995388.5152 987090.5469 6 0 0
